cityID,cityName,totalIncidents
SY030204,Nashabiyeh,3
SY030701,Dimas,3
SY030703,Madaya,8
SY030102,Babella,0
SY030105,Kafr Batna,0
SY030401,Sidnaya,7
SY030201,Harasta,42
SY030107,Qudsiya,0
SY030802,Sa'sa',0
SY030501,Esal El-Ward,0
SY100500,Sheikh Badr,0
SY030801,Bait Jan,0
SY100502,Qumseyyeh,0
SY100501,Baramanet Elmashayekh,0
SY100200,Banyas,0
SY100202,Anaza,0
SY030101,Kisweh,3
SY100204,Hamam Wasil,0
SY100205,Tawahin,0
SY100206,Taleen,0
SY100400,Dreikish,0
SY030104,Maliha,478
SY100201,Rawda,0
SY100401,Jneinet Raslan,0
SY100402,Hamin,0
SY100403,Dweir Raslan,0
SY100301,Mashta Elhiu,0
SY030103,Jaramana,15
SY100302,Bariqiyeh,0
SY100303,Sibbeh,0
SY100304,Sisniyyeh,0
SY100305,Ras El-Khashufeh,0
SY100001,Arwad,0
SY100002,Hameidiyyeh,0
SY100003,Kherbet Elma'aza,0
SY100004,Soda Khawabi,0
SY100005,Kareemeh,0
SY100006,Safsafa,1
SY030500,Yabroud,1
SY050303,Saboura,1
SY030800,Qatana,5
SY100203,Qadmous,4
SY100000,Tartous,51
SY010000,Damascus,1862
SY030200,Duma,36
SY100300,Safita,11
SY030106,Arbin,12
